sample_id	sample_type	type	participant.study_participant_id	sample_tumor_status
HTA12_29_4_DNA	DNA	sample	phs002371_HTA12_29	Not specified in data
HTA12_27_3_DNA	DNA	sample	phs002371_HTA12_27	Not specified in data
HTA7_1_231_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_10167_2000002021_RNA	RNA	sample	phs002371_HTA11_10167	Not specified in data
HTA11_7663_2000002021_RNA	RNA	sample	phs002371_HTA11_7663	Not specified in data
HTA11_99999971662_82457_DNA	DNA	sample	phs002371_HTA11_99999971662	Not specified in data
HTA1_313_932101_RNA	RNA	sample	phs002371_HTA1_313	Not specified in data
HTA1_145_121201_RNA	RNA	sample	phs002371_HTA1_145	Not specified in data
HTA7_1_145_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_790_4142101_RNA	RNA	sample	phs002371_HTA1_790	Not specified in data
HTA11_9341_2000001011_DNA	DNA	sample	phs002371_HTA11_9341	Not specified in data
HTA1_797_4232101_RNA	RNA	sample	phs002371_HTA1_797	Not specified in data
HTA7_1_67_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_99999965104_69815_DNA	DNA	sample	phs002371_HTA11_99999965104	Not specified in data
HTA7_1_162_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_167_211101_RNA	RNA	sample	phs002371_HTA1_167	Not specified in data
HTA1_231_6758320_RNA	RNA	sample	phs002371_HTA1_231	Not specified in data
HTA1_889_7270320_RNA	RNA	sample	phs002371_HTA1_889	Not specified in data
HTA7_1_111_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_331_5161101_RNA	RNA	sample	phs002371_HTA1_331	Not specified in data
HTA11_3918_2000009901_DNA	DNA	sample	phs002371_HTA11_3918	Not specified in data
HTA7_1_184_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_99999915775_84219_DNA	DNA	sample	phs002371_HTA11_99999915775	Not specified in data
HTA1_312_901101_RNA	RNA	sample	phs002371_HTA1_312	Not specified in data
HTA12_24_1_RNA	RNA	sample	phs002371_HTA12_24	Not specified in data
HTA1_895_7359320_RNA	RNA	sample	phs002371_HTA1_895	Not specified in data
HTA11_8504_2000002011_RNA	RNA	sample	phs002371_HTA11_8504	Not specified in data
HTA12_26_3_DNA	DNA	sample	phs002371_HTA12_26	Not specified in data
HTA7_1_212_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_516_6761320_RNA	RNA	sample	phs002371_HTA1_516	Not specified in data
HTA11_6801_2000002011_RNA	RNA	sample	phs002371_HTA11_6801	Not specified in data
HTA11_99999952741_84220_DNA	DNA	sample	phs002371_HTA11_99999952741	Not specified in data
HTA12_25_2_DNA	DNA	sample	phs002371_HTA12_25	Not specified in data
HTA11_99999959600_84594_DNA	DNA	sample	phs002371_HTA11_99999959600	Not specified in data
HTA7_1_82_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_873_7119320_RNA	RNA	sample	phs002371_HTA1_873	Not specified in data
HTA11_8622_2000001021_DNA	DNA	sample	phs002371_HTA11_8622	Not specified in data
HTA1_567_5791201_RNA	RNA	sample	phs002371_HTA1_567	Not specified in data
HTA11_7862_2000009901_DNA	DNA	sample	phs002371_HTA11_7862	Not specified in data
HTA7_1_129_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA12_28_2_DNA	DNA	sample	phs002371_HTA12_28	Not specified in data
HTA11_5216_2000001011_DNA	DNA	sample	phs002371_HTA11_5216	Not specified in data
HTA11_1938_2000001011_DNA	DNA	sample	phs002371_HTA11_1938	Not specified in data
HTA1_312_902102_RNA	RNA	sample	phs002371_HTA1_312	Not specified in data
HTA11_10623_2000009901_DNA	DNA	sample	phs002371_HTA11_10623	Not specified in data
HTA1_562_2581102_RNA	RNA	sample	phs002371_HTA1_562	Not specified in data
HTA1_166_201101_RNA	RNA	sample	phs002371_HTA1_166	Not specified in data
HTA11_6134_2000001011_DNA	DNA	sample	phs002371_HTA11_6134	Not specified in data
HTA7_1_154_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_204_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_624_3212101_RNA	RNA	sample	phs002371_HTA1_624	Not specified in data
HTA1_784_6241201_RNA	RNA	sample	phs002371_HTA1_784	Not specified in data
HTA7_1_200_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_10711_2000001011_DNA	DNA	sample	phs002371_HTA11_10711	Not specified in data
HTA11_1938_3001059101_DNA	DNA	sample	phs002371_HTA11_1938	Not specified in data
HTA7_1_22_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_347_2000001011_DNA	DNA	sample	phs002371_HTA11_347	Not specified in data
HTA7_1_159_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_175_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_39_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA10_09_111_RNA	RNA	sample	phs002371_HTA10_09	Not specified in data
HTA7_1_37_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_99999974143_84621_DNA	DNA	sample	phs002371_HTA11_99999974143	Not specified in data
HTA11_99999973458_83798_RNA	RNA	sample	phs002371_HTA11_99999973458	Not specified in data
HTA7_1_166_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_254_571102_RNA	RNA	sample	phs002371_HTA1_254	Not specified in data
HTA12_31_4_DNA	DNA	sample	phs002371_HTA12_31	Not specified in data
HTA7_1_220_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_766_6780201_RNA	RNA	sample	phs002371_HTA1_766	Not specified in data
HTA12_30_5_RNA	RNA	sample	phs002371_HTA12_30	Not specified in data
HTA1_336_5221101_RNA	RNA	sample	phs002371_HTA1_336	Not specified in data
HTA1_982_7629101_RNA	RNA	sample	phs002371_HTA1_982	Not specified in data
HTA7_1_124_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_160_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_8099_2000002021_RNA	RNA	sample	phs002371_HTA11_8099	Not specified in data
HTA7_1_143_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_226_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_196_271201_RNA	RNA	sample	phs002371_HTA1_196	Not specified in data
HTA1_887_7239320_RNA	RNA	sample	phs002371_HTA1_887	Not specified in data
HTA7_1_66_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_102_11201_RNA	RNA	sample	phs002371_HTA1_102	Not specified in data
HTA11_99999971662_82457_RNA	RNA	sample	phs002371_HTA11_99999971662	Not specified in data
HTA11_8920_2000002011_RNA	RNA	sample	phs002371_HTA11_8920	Not specified in data
HTA7_1_27_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_233_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_30_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_6025_2000009901_DNA	DNA	sample	phs002371_HTA11_6025	Not specified in data
HTA7_1_26_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_99999955474_84597_DNA	DNA	sample	phs002371_HTA11_99999955474	Not specified in data
HTA1_756_6779201_RNA	RNA	sample	phs002371_HTA1_756	Not specified in data
HTA12_24_4_RNA	RNA	sample	phs002371_HTA12_24	Not specified in data
HTA11_99999954617_84595_DNA	DNA	sample	phs002371_HTA11_99999954617	Not specified in data
HTA1_878_7149601_RNA	RNA	sample	phs002371_HTA1_878	Not specified in data
HTA7_1_47_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_157_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA10_10_018_RNA	RNA	sample	phs002371_HTA10_10	Not specified in data
HTA11_99999944922_84598_DNA	DNA	sample	phs002371_HTA11_99999944922	Not specified in data
HTA1_627_3242101_RNA	RNA	sample	phs002371_HTA1_627	Not specified in data
HTA1_962_4711102_RNA	RNA	sample	phs002371_HTA1_962	Not specified in data
HTA1_155_151201_RNA	RNA	sample	phs002371_HTA1_155	Not specified in data
HTA1_800_6784201_RNA	RNA	sample	phs002371_HTA1_800	Not specified in data
HTA7_1_216_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA1_309_871101_RNA	RNA	sample	phs002371_HTA1_309	Not specified in data
HTA1_983_7659101_RNA	RNA	sample	phs002371_HTA1_983	Not specified in data
HTA1_141_111201_RNA	RNA	sample	phs002371_HTA1_141	Not specified in data
HTA1_994_7819101_RNA	RNA	sample	phs002371_HTA1_994	Not specified in data
HTA7_1_222_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_41_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA12_27_4_RNA	RNA	sample	phs002371_HTA12_27	Not specified in data
HTA12_31_1_DNA	DNA	sample	phs002371_HTA12_31	Not specified in data
HTA1_171_231201_RNA	RNA	sample	phs002371_HTA1_171	Not specified in data
HTA11_6147_2000009901_DNA	DNA	sample	phs002371_HTA11_6147	Not specified in data
HTA7_1_146_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA11_99999950679_84606_DNA	DNA	sample	phs002371_HTA11_99999950679	Not specified in data
HTA12_24_3_DNA	DNA	sample	phs002371_HTA12_24	Not specified in data
HTA1_783_4081101_RNA	RNA	sample	phs002371_HTA1_783	Not specified in data
HTA7_1_90_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
HTA7_1_219_RNA	RNA	sample	phs002371_HTA7_1	Not specified in data
